Transaction_ID,User_ID,Transaction_Date,Amount,Category,Payment_Method,Merchant_Name,Location,Income_Monthly,Savings_Contribution,Debt_or_Credit_Usage,Balance_After_Transaction,Transaction_Notes,extra_info
3381,1049078,5/1/2021,57839.73,Rent,cash,"",London,165489.02,15.38,"",1065.83,Uber ride,random text
7380,1049078,3/31/2020,96311.82,Entertainment,Crypto,Starbucks,Tokyo,104644.32,1.33,y,-1012.17,Lunch at Java,random text
6209,1049078,9/7/2020,50986.52,Food,PayPal,"",Nairobi,109144.65,0.52,No,9286.86,Lunch at Java,random text
6807,1048781,3/16/2021,58386.44,Others,cash,"",London,86930.13,1.0,N/A,-7875.68,Lunch at Java,null
3488,1049078,7/29/2021,58775.6,Transport,Credit card,Target,New York,181928.5,81.22,null,-3796.33,Paid rent,random text
5177,1049433,5/9/2020,30335.51,Entertainment,Credit card,Target,London,96187.89,86.7,N/A,-7745.94,Shopping,null
8919,1049433,12/15/2020,3586.08,Education,M-Pesa,"","",84524.34,62.22,Yes,4214.77,Shopping,null
7502,1049433,12/12/2020,33160.28,Others,Bank Transfer,"",Tokyo,96069.59,30.09,n,-1414.47,Shopping,null
8795,1048879,10/31/2021,72281.43,Transport,M-Pesa,Walmart,London,159877.89,74.96,"",-6374.18,Paid rent,null
4610,1052079,8/28/2020,53214.64,Rent,PayPal,Starbucks,Nairobi,137457.4,56.11,N/A,2927.94,Lunch at Java,random text
4603,1048781,5/3/2020,16785.41,Shopping,cash,Starbucks,"",75145.13,2.09,"",-865.13,Uber ride,null
5738,1052079,4/1/2021,30466.57,Shopping,Crypto,Amazon,New York,78340.87,75.0,y,2228.27,Shopping,random text
7872,1049078,3/14/2020,96192.1,Transport,PayPal,"",New York,19619.25,58.42,No,-373.9,Lunch at Java,random text
2412,1052079,10/24/2020,51170.39,Food,Crypto,"",New York,138199.22,22.25,"",9980.47,Shopping,random text
9109,1049078,1/13/2020,84196.67,Healthcare,Debit Card,Starbucks,Nairobi,70724.05,72.27,n,1864.25,Shopping,random text
5508,1048781,4/15/2021,55210.82,Rent,Crypto,"",Nairobi,178838.48,84.48,n,-4353.46,Uber ride,random text
2121,1048879,7/15/2021,26138.44,Others,M-Pesa,Walmart,Nairobi,118060.83,19.7,N/A,8069.59,Shopping,random text
5131,1049433,6/9/2020,76326.77,Transport,Bank Transfer,Walmart,London,23127.99,0.04,No,7959.34,Shopping,random text
7093,1049433,4/30/2021,39422.68,Food,Crypto,Target,"",170549.02,99.54,n,-9874.92,Paid rent,random text
